freqs,channel,p1,chi2
87.8906,1,0.1239,0.5908
87.8906,2,0.2015,0.9556
87.8906,3,0.1508,0.358
87.8906,4,0.5314,2.7577
87.8906,5,0.1325,0.4836
87.8906,6,0.193,0.9246
87.8906,7,0.1458,0.4111
87.8906,8,0.2717,0.9776
87.8906,9,0.1287,0.4668
87.8906,10,0.1318,0.5099
87.8906,11,0.1364,0.4668
87.8906,12,0.1515,0.3485
87.8906,13,0.1359,0.4528
87.8906,14,0.1393,0.4804
87.8906,15,0.1515,0.3426
89.8438,0,0.1327,0.4745
89.8438,1,0.1184,0.5736
89.8438,2,0.1508,0.3508
89.8438,3,0.1485,0.3703
89.8438,4,0.4696,3.3489
89.8438,5,0.124,0.5041
89.8438,6,0.1516,0.3767
89.8438,7,0.3107,3.4265
89.8438,8,0.27,0.978
89.8438,9,0.1251,0.5152
89.8438,10,0.1245,0.542
89.8438,11,0.126,0.4988
89.8438,12,0.1949,1.0247
89.8438,13,0.1363,0.4661
89.8438,14,0.14,0.4517
89.8438,15,0.1521,0.3455
91.7969,0,0.1266,0.4997
91.7969,1,0.166,1.9397
91.7969,2,0.1515,0.3621
91.7969,3,0.1492,0.3794
91.7969,4,0.1859,0.9177
91.7969,5,0.111,0.5694
91.7969,6,0.3766,3.2903
91.7969,7,0.1358,0.444
91.7969,8,0.2475,3.0544
91.7969,9,0.1184,0.57
91.7969,10,0.1223,0.5427
91.7969,11,0.183,0.9694
91.7969,12,0.1479,0.3628
91.7969,13,0.1269,0.5294
91.7969,14,0.1355,0.4635
91.7969,15,0.1524,0.3607
93.75,0,0.2515,1.5631
93.75,1,0.2644,1.4917
93.75,2,0.1475,0.3719
93.75,3,0.1477,0.4063
93.75,4,0.1821,0.9756
93.75,5,0.1123,0.5741
93.75,6,0.2544,1.5834
93.75,7,0.1362,0.4621
93.75,8,0.2529,0.9676
93.75,9,0.1106,0.5907
93.75,10,0.1204,0.5512
93.75,11,0.116,0.5593
93.75,12,0.1453,0.3879
93.75,13,0.1227,0.5327
93.75,14,0.1322,0.4994
93.75,15,0.1506,0.3833
95.7031,0,0.2744,1.4608
95.7031,1,0.1058,0.6467
95.7031,2,0.1508,0.363
95.7031,3,0.1696,1.0008
95.7031,4,0.1497,0.3885
95.7031,5,0.1206,0.5502
95.7031,6,0.1495,0.3674
95.7031,7,0.1341,0.4802
95.7031,8,0.2509,0.9444
95.7031,9,0.1135,0.5888
95.7031,10,0.5967,1.4994
95.7031,11,0.1129,0.5851
95.7031,12,0.1739,1.0725
95.7031,13,0.0816,9.3355
95.7031,14,0.1414,0.4389
95.7031,15,0.1474,0.3751
97.6562,0,0.1122,0.5835
97.6562,1,0.1117,0.5738
97.6562,2,0.2103,1.0268
97.6562,3,0.1718,0.9896
97.6562,4,0.148,0.3866
97.6562,5,0.1227,0.5053
97.6562,6,0.1946,1.0875
97.6562,7,0.1338,0.4895
97.6562,8,0.2689,0.9985
97.6562,9,0.112,0.5856
97.6562,10,0.134,1.064
97.6562,11,0.715,1.6331
97.6562,12,0.1454,0.4048
97.6562,13,0.3007,3.4295
97.6562,14,0.2558,3.0916
97.6562,15,0.15,0.3791
99.6094,0,0.109,0.6109
99.6094,1,0.1159,0.5763
99.6094,2,0.1536,0.3311
99.6094,3,0.1477,0.3879
99.6094,4,0.1451,0.4043
99.6094,5,0.1262,0.4789
99.6094,6,0.3766,2.9739
99.6094,7,0.1322,0.5037
99.6094,8,0.2839,1.1231
99.6094,9,0.1106,0.6098
99.6094,10,0.1423,0.4047
99.6094,11,0.1238,0.5442
99.6094,12,0.1427,0.4216
99.6094,13,0.2226,2.5386
99.6094,14,0.2507,1.5396
99.6094,15,0.1488,0.3839
101.5625,0,0.1088,0.6061
101.5625,1,0.1125,0.5805
101.5625,2,0.1523,0.3366
101.5625,3,0.2925,4.4844
