freqs,channel,p1,chi2
48.8281,11,5.0819,82.8247
48.8281,12,0.1871,182.9164
48.8281,13,0.1446,12.3799
48.8281,14,0.1293,1.5611
48.8281,15,4.8599,93.4657
50.7812,0,0.2465,41.2969
50.7812,1,0.1436,5.3356
50.7812,2,0.2356,42.8928
50.7812,3,4.6674,83.8508
50.7812,4,0.2529,78.5061
50.7812,5,0.1372,0.9846
50.7812,6,0.1363,221.5686
50.7812,7,5.1802,95.5693
50.7812,8,0.1692,14.6278
50.7812,9,0.2994,2329.2041
50.7812,10,0.2148,6.515
50.7812,11,4.9867,77.1669
50.7812,12,0.1904,193.5401
50.7812,13,0.1401,11.5901
50.7812,14,0.1258,1.4281
50.7812,15,4.8919,95.7524
52.7344,0,0.2148,2.0182
52.7344,1,0.1292,1.7635
52.7344,2,0.1989,1.7554
52.7344,3,4.3516,84.1191
52.7344,4,0.2241,28.6462
52.7344,5,0.1371,1.1792
52.7344,6,0.1316,121.411
52.7344,7,5.0578,100.5877
52.7344,8,0.1571,14.0607
52.7344,9,0.2684,1378.4741
52.7344,10,0.198,10.8765
52.7344,11,4.9947,84.7488
52.7344,12,0.1753,157.8567
52.7344,13,0.1283,1.3371
52.7344,14,0.1188,1.0128
52.7344,15,4.7708,96.9778
54.6875,0,0.18,2.0839
54.6875,1,0.1161,1.4015
54.6875,2,0.1673,1.5932
54.6875,3,4.0644,73.7241
54.6875,4,0.1765,1.9245
54.6875,5,0.1358,1.1381
54.6875,6,0.1059,21.3677
54.6875,7,4.8891,86.4779
54.6875,8,0.1421,10.745
54.6875,9,0.1819,284.6274
54.6875,10,0.1678,5.3004
54.6875,11,5.2101,97.3145
54.6875,12,0.1506,89.7552
54.6875,13,0.115,1.5106
54.6875,14,0.113,1.5564
54.6875,15,4.821,104.1654
56.6406,0,0.1669,3.1527
56.6406,1,0.1157,1.616
56.6406,2,0.1597,1.6313
56.6406,3,3.9417,66.193
56.6406,4,0.1463,2.0221
56.6406,5,0.1314,1.0074
56.6406,6,0.0765,1.0616
56.6406,7,4.9709,83.6826
56.6406,8,0.134,6.2734
56.6406,9,0.105,5.1702
56.6406,10,0.142,1.1727
56.6406,11,5.2428,82.6767
56.6406,12,0.1362,50.5551
56.6406,13,0.106,1.3893
56.6406,14,0.1102,1.457
56.6406,15,5.0362,106.9034
58.5938,0,0.17,2.6127
58.5938,1,0.1198,1.5983
58.5938,2,0.161,1.3867
58.5938,3,3.8633,74.187
58.5938,4,0.1481,2.2729
58.5938,5,0.1285,1.1942
